"address","property_tax_new","property_tax_old","appraisal_new","assessment_new","appraisal_old","assessment_old"
"15 ALENIER ST",8668.9939,6761.6199,265700,185990,173700,121589.99999999999
"18 ALENIER ST",10329.7082,6251.6762,316600,221620,160600,112420
"19 ALENIER ST",8747.2987,6668.195099999999,268100,187670,171300,119909.99999999999
"23 ALENIER ST",8182.8516,6271.139700000001,250800,175560,161100,112770
"27 ALENIER ST",8665.731199999998,6399.598799999999,265600,185920,164400,115079.99999999999
"28 ALENIER ST",8267.6818,6275.0324,253400,177380,161200,112840
"30 ALENIER ST",8907.171,6956.254899999999,273000,191100,178700,125089.99999999999
"31 ALENIER ST",9125.7719,7014.645399999999,279700,195790,180200,126139.99999999999
"34 ALENIER ST",10714.706799999998,7263.778199999999,328400,229879.99999999997,186600,130619.99999999999
"35 ALENIER ST",9093.144900000001,6827.795799999999,278700,195090,175400,122779.99999999999
"38 ALENIER ST",8943.0607,6796.654199999999,274100,191870,174600,122219.99999999999
"39 ALENIER ST",8822.3408,6746.049099999998,270400,189280,173300,121309.99999999999
"42 ALENIER ST",7925.0983,6107.646299999999,242900,170030,156900,109830
"43 ALENIER ST",8916.9591,6380.135299999999,273300,191310,163900,114729.99999999999
"46 ALENIER ST",8714.671699999999,6691.551299999999,267100,186970,171900,120329.99999999999
"47 ALENIER ST",8567.850199999999,6757.727199999999,262600,183820,173600,121519.99999999999
"50 ALENIER ST",9582.5499,6944.576799999999,293700,205590,178400,124879.99999999999
"51 ALENIER ST",8737.5106,6609.804599999999,267800,187460,169800,118859.99999999999
"54 ALENIER ST",9745.6849,7435.057,298700,209090,191000,133700
"58 ALENIER ST",7807.6411,5881.8697,239300,167510,151100,105770
"61 ALENIER ST",11938.219299999999,9521.544199999998,365900,256129.99999999997,244600,171220
"3 ALLENE DR",11732.669199999998,8719.648,359600,251719.99999999997,224000,156800
"11 ALLENE DR",8744.036,7182.031499999999,268000,187600,184500,129149.99999999999
"17 ALLENE DR",8744.036,7376.6665,268000,187600,189500,132650
"18 ALLENE DR",10890.892599999997,8630.1159,333800,233659.99999999997,221700,155190
"23 ALLENE DR",10140.471599999999,8435.4809,310800,217560,216700,151690
"24 ALLENE DR",11370.509499999998,9171.2012,348500,243949.99999999997,235600,164920
"29 ALLENE DR",10522.2075,8458.837099999999,322500,225750,217300,152110
"30 ALLENE DR",11337.882499999998,8536.6911,347500,243249.99999999997,219300,153510
"35 ALLENE DR",9474.8808,6991.289199999999,290400,203280,179600,125719.99999999999
"36 ALLENE DR",11014.875199999999,8743.0042,337600,236319.99999999997,224600,157220
"43 ALLENE DR",11151.908599999997,8018.962,341800,239259.99999999997,206000,144200
"44 ALLENE DR",10316.6574,8248.6313,316200,221340,211900,148330
"49 ALLENE DR",10417.801099999999,8707.9699,319300,223510,223700,156590
"50 ALLENE DR",10332.9709,8307.0218,316700,221690,213400,149380
"55 ALLENE DR",14665.8365,11728.7051,449500,314650,301300,210910
"60 ALLENE DR",13797.9583,11020.233699999999,422900,296030,283100,198170
"70 ALLENE DR",11886.016099999997,9463.153699999999,364300,255009.99999999997,243100,170170
"25 ALLING ST",998.3861999999999,373.6992,30600,21420,9600,6720
"32 ALLING ST",7977.3015,2876.7052999999996,244500,171150,73900,51730
"36 ALLING ST",6998.4915,4336.467799999999,214500,150150,111400,77980
"47 ALLING ST",7605.353700000001,5118.9005,233100,163170,131500,92050
"48 ALLING ST",8140.4365,5091.651599999999,249500,174650,130800,91560
"49 ALLING ST",7321.498799999999,7240.421999999999,224400,157080,186000,130199.99999999999
"54 ALLING ST",3252.9119,3585.1766999999995,99700,69790,92100,64469.99999999999
"61 ALLING ST",8607.0026,4394.8583,263800,184660,112900,79030
"7 ALSTRUM ST",244.7025,120.6737,7500,5250,3100,2170
"12 ALSTRUM ST",6913.6613,7174.2460999999985,211900,148330,184300,129009.99999999999
"20 ALSTRUM ST",10169.8359,7193.709599999998,311700,218190,184800,129359.99999999999
"21 ALSTRUM ST",10597.2496,6566.9848999999995,324800,227360,168700,118089.99999999999
"26 ALSTRUM ST",9230.178300000001,5294.072,282900,198030,136000,95200
"31 ALSTRUM ST",7220.3551,4912.5874,221300,154910,126200,88340
"32 ALSTRUM ST",8492.8081,3355.5073999999995,260300,182210,86200,60339.99999999999
"35 ALSTRUM ST",9478.1435,5776.766799999999,290500,203350,148400,103880
"36 ALSTRUM ST",7308.448,4293.648099999999,224000,156800,110300,77210
"54 ALSTRUM ST",10943.0958,6454.096599999999,335400,234779.99999999997,165800,116059.99999999999
"58 ALSTRUM ST",7892.4713,3589.0693999999994,241900,169330,92200,64539.99999999999
"62 ALSTRUM ST",9204.0767,5597.7026,282100,197470,143800,100660
"66 ALSTRUM ST",6345.9515,3592.9620999999997,194500,136150,92300,64609.99999999999
"67 ALSTRUM ST",9556.4483,4706.2743,292900,205030,120900,84630
"71 ALSTRUM ST",8639.6296,4994.3341,264800,185360,128300,89810
"72 ALSTRUM ST",7396.5409,4873.660400000001,226700,158690,125200,87640
"76 ALSTRUM ST",7611.879099999999,4546.6736,233300,163310,116800,81760
"78 ALSTRUM ST",11843.600999999999,7972.249599999999,363000,254099.99999999997,204800,143360
"79 ALSTRUM ST",15337.9527,10085.9857,470100,329070,259100,181370
"83 ALSTRUM ST",10117.6327,7228.7438999999995,310100,217070,185700,129989.99999999999
"84 ALSTRUM ST",7644.5061,5329.1062999999995,234300,164010,136900,95830
"89 ALSTRUM ST",6854.9327,3807.0606000000002,210100,147070,97800,68460
"5 AMHERST ST",9292.1696,7567.4088,284800,199360,194400,136080
"11 AMHERST ST",11846.8637,8750.7896,363100,254169.99999999997,224800,157360
"19 AMHERST ST",10753.859199999999,8614.5451,329600,230719.99999999997,221300,154910
"20 AMHERST ST",9540.134800000002,7388.344599999999,292400,204680,189800,132860
"30 AMHERST ST",9657.592,7450.6278,296000,207200,191400,133980
"21 AMOS ST",12714.7419,10778.8863,389700,272790,276900,193830
"24 AMOS ST",11344.407899999998,9774.5697,347700,243389.99999999997,251100,175770
"40 AMOS ST",10179.624,8018.962,312000,218400,206000,144200
"22 ANDOVER RD",11262.8404,9256.8406,345200,241639.99999999997,237800,166460
"23 ANDOVER RD",11416.1873,9852.4237,349900,244929.99999999997,253100,177170
"32 ANDOVER RD",10757.121899999998,9237.3771,329700,230789.99999999997,237300,166110
"35 ANDOVER RD",11497.754799999999,8493.8714,352400,246679.99999999997,218200,152740
"44 ANDOVER RD",10257.928800000002,8209.7043,314400,220080,210900,147630
"47 ANDOVER RD",11213.899899999999,8630.1159,343700,240589.99999999997,221700,155190
"56 ANDOVER RD",11527.119099999998,8443.266300000001,353300,247309.99999999997,216900,151830
"61 ANDOVER RD",11693.5168,9443.6902,358400,250879.99999999997,242600,169820
"68 ANDOVER RD",11837.075599999998,9638.3252,362800,253959.99999999997,247600,173320
"73 ANDOVER RD",12140.5067,9899.1361,372100,260469.99999999997,254300,178010
"80 ANDOVER RD",10773.435399999998,8879.2487,330200,231139.99999999997,228100,159670
"85 ANDOVER RD",12721.267300000001,10541.4316,389900,272930,270800,189560
"90 ANDOVER RD",13461.9002,11059.160699999999,412600,288820,284100,198870
"ANDREW ST",153.3469,202.42039999999997,4700,3290,5200,3639.9999999999995
"20 ANDREW ST",14306.9395,12487.7816,438500,306950,320800,224560
"27 ANDREW ST",13510.840699999999,11456.2161,414100,289870,294300,206010
"32 ANDREW ST",13566.3066,10198.874,415800,291060,262000,183400
"35 ANDREW ST",13961.0933,12666.845800000001,427900,299530,325400,227780
"7 ANNS FARM RD",12029.574899999998,9256.8406,368700,258089.99999999997,237800,166460
"17 ANNS FARM RD",12776.733199999999,8556.1546,391600,274120,219800,153860
"18 ANNS FARM RD",12078.515399999998,8474.4079,370200,259139.99999999997,217700,152390
"27 ANNS FARM RD",11647.838999999998,8669.0429,357000,249899.99999999997,222700,155890
"28 ANNS FARM RD",14261.2617,11534.070099999999,437100,305970,296300,207410
"39 ANNS FARM RD",12903.9785,9762.891599999999,395500,276850,250800,175560
"40 ANNS FARM RD",11768.558899999998,8855.8925,360700,252489.99999999997,227500,159250
"49 ANNS FARM RD",13820.797199999999,10557.002400000001,423600,296520,271200,189840
"50 ANNS FARM RD",12003.4733,8964.8881,367900,257529.99999999997,230300,161210
"59 ANNS FARM RD",11824.0248,9046.634800000002,362400,253679.99999999997,232400,162680
"60 ANNS FARM RD",12085.040799999999,9338.587300000001,370400,259279.99999999997,239900,167930
"69 ANNS FARM RD",11696.779499999999,9171.2012,358500,250949.99999999997,235600,164920
"70 ANNS FARM RD",11435.763499999997,8906.497599999999,350500,245349.99999999997,228800,160160
"86 ANNS FARM RD",12310.167099999999,9136.1669,377300,264110,234700,164290
"90 ANNS FARM RD",12019.786799999998,8711.8626,368400,257879.99999999997,223800,156660
"91 ANNS FARM RD",11478.178599999997,8229.1678,351800,246259.99999999997,211400,147980
"100 ANNS FARM RD",13243.2993,9377.5143,405900,284130,240900,168630
"101 ANNS FARM RD",12277.5401,8964.8881,376300,263410,230300,161210
"110 ANNS FARM RD",12019.786799999998,8711.8626,368400,257879.99999999997,223800,156660
"111 ANNS FARM RD",11210.6372,8213.597,343600,240519.99999999997,211000,147700
"120 ANNS FARM RD",11817.499399999999,8606.759699999999,362200,253539.99999999997,221100,154770
"121 ANNS FARM RD",12372.1584,9198.4501,379200,265440,236300,165410
"130 ANNS FARM RD",11553.2207,8540.5838,354100,247869.99999999997,219400,153580
"131 ANNS FARM RD",10486.3178,7711.438700000001,321400,224980,198100,138670
"140 ANNS FARM RD",13396.6462,9124.488800000001,410600,287420,234400,164080
"141 ANNS FARM RD",11354.195999999998,8303.1291,348000,243599.99999999997,213300,149310
"168 ANNS FARM RD",12231.8623,8785.823900000001,374900,262430,225700,157990
"169 ANNS FARM RD",10479.7924,7668.619,321200,224840,197000,137900
"178 ANNS FARM RD",13465.162900000001,9525.4369,412700,288890,244700,171290
"179 ANNS FARM RD",12235.125,9050.5275,375000,262500,232500,162750
"188 ANNS FARM RD",12111.142399999999,8883.1414,371200,259839.99999999997,228200,159740
"189 ANNS FARM RD",12584.233900000001,9420.334,385700,269990,242000,169400
"198 ANNS FARM RD",11980.634399999999,9124.488800000001,367200,257039.99999999997,234400,164080
"199 ANNS FARM RD",13814.2718,9650.0033,423400,296380,247900,173530
"208 ANNS FARM RD",11328.094399999998,8427.6955,347200,243039.99999999997,216500,151550
"209 ANNS FARM RD",11122.5443,8096.816,340900,238629.99999999997,208000,145600
"216 ANNS FARM RD",11569.5342,8462.729800000001,354600,248219.99999999997,217400,152180
"224 ANNS FARM RD",10391.6995,7999.4985,318500,222950,205500,143850
"232 ANNS FARM RD",10776.698099999998,8127.9576,330300,231209.99999999997,208800,146160
"240 ANNS FARM RD",10068.6922,7419.4862,308600,216020,190600,133420
"241 ANNS FARM RD",10887.629899999998,7948.8934,333700,233589.99999999997,204200,142940
"248 ANNS FARM RD",11686.991399999999,8186.348099999999,358200,250739.99999999997,210300,147210
"249 ANNS FARM RD",11608.686599999997,8264.2021,355800,249059.99999999997,212300,148610
"256 ANNS FARM RD",10613.5631,7816.5416,325300,227710,200800,140560
"257 ANNS FARM RD",11419.449999999999,8482.1933,350000,244999.99999999997,217900,152530
"264 ANNS FARM RD",12985.546,9626.6471,398000,278600,247300,173110
"265 ANNS FARM RD",11563.0088,8042.318200000001,354400,248079.99999999997,206600,144620
"272 ANNS FARM RD",11553.2207,8719.648,354100,247869.99999999997,224000,156800
"273 ANNS FARM RD",12228.5996,9128.3815,374800,262360,234500,164150
"4 APPLE TREE LA",10231.8272,8478.3006,313600,219520,217800,152460
"16 APPLE TREE LA",10212.251,8556.1546,313000,219100,219800,153860
"19 APPLE TREE LA",11510.805599999998,9361.9435,352800,246959.99999999997,240500,168350
"28 APPLE TREE LA",10427.589199999999,8532.7984,319600,223720,219200,153440
"31 APPLE TREE LA",10828.9013,8999.9224,331900,232329.99999999997,231200,161840
"40 APPLE TREE LA",10218.7764,9638.3252,313200,219240,247600,173320
"45 APPLE TREE LA",9262.8053,7847.6832,283900,198730,201600,141120
"57 APPLE TREE LA",10861.528299999998,8867.5706,332900,233029.99999999997,227800,159460
"60 APPLE TREE LA",11618.474699999999,9860.2091,356100,249269.99999999997,253300,177310
"69 APPLE TREE LA",10257.928800000002,8377.090400000001,314400,220080,215200,150640
"10 ARCADIA AVE",9129.034599999999,6932.898699999999,279800,195860,178100,124669.99999999999
"14 ARCADIA AVE",8903.908300000001,7283.2417,272900,191030,187100,130969.99999999999
"20 ARCADIA AVE",10535.258300000001,7999.4985,322900,226030,205500,143850
"24 ARCADIA AVE",9494.457,7205.387699999999,291000,203700,185100,129569.99999999999
"25 ARCADIA AVE",10101.3192,8205.8115999999991,309600,216720,210800,147560
"30 ARCADIA AVE",8933.2726,6590.341099999999,273800,191660,169300,118509.99999999999
"31 ARCADIA AVE",7830.48,5726.161700000001,240000,168000,147100,102970
"34 ARCADIA AVE",9282.3815,6142.6806,284500,199150,157800,110460
"35 ARCADIA AVE",8244.8429,6045.3631,252700,176890,155300,108710
"44 ARCADIA AVE",8352.512,6084.290099999999,256000,179200,156300,109410
"45 ARCADIA AVE",9814.2016,7337.7395,300800,210560,188500,131950
"48 ARCADIA AVE",8195.902399999999,5971.4018,251200,175840,153400,107380
"53 ARCADIA AVE",8414.5033,6321.7447999999995,257900,180530,162400,113680
"56 ARCADIA AVE",8088.2333,6239.9981,247900,173530,160300,112210
"57 ARCADIA AVE",8421.028699999999,6493.023599999999,258100,180670,166800,116759.99999999999
"60 ARCADIA AVE",8293.7834,6185.5003,254200,177940,158900,111230
"65 ARCADIA AVE",8208.9532,5979.1872,251600,176120,153600,107520
"69 ARCADIA AVE",8257.8937,6068.7193,253100,177170,155900,109130
"74 ARCADIA AVE",8577.6383,6228.32,262900,184030,160000,112000
"75 ARCADIA AVE",8205.6905,5951.9383,251500,176050,152900,107030
"81 ARCADIA AVE",8238.3175,5971.4018,252500,176750,153400,107380
"27 ARCH ST",12160.082899999998,4885.3385,372700,260889.99999999997,125500,87850
"32 ARCH ST",368.6851,132.3518,11300,7909.999999999999,3400,2380
"37 ARCH ST",11269.3658,8120.1722,345400,241779.99999999997,208600,146020
"43 ARCH ST",11171.484799999998,7228.7438999999995,342400,239679.99999999997,185700,129989.99999999999
"44 ARCH ST",20940.0086,10074.3076,641800,449260,258800,181160
"50 ARCH ST",8466.7065,6695.4439999999995,259500,181650,172000,120399.99999999999
"51 ARCH ST",11164.959399999998,7606.3358,342200,239539.99999999997,195400,136780
"54 ARCH ST",7882.6832,4686.8108,241600,169120,120400,84280
"55 ARCH ST",15223.758199999998,11028.0191,466600,326620,283300,198310
"58 ARCH ST",8293.7834,6162.1440999999995,254200,177940,158300,110810
"59 ARCH ST",639.4892,517.7291,19600,13720,13300,9310
"64 ARCH ST",7425.9052,5574.3464,227600,159320,143200,100240
"65 ARCH ST",7918.572899999999,5730.0544,242700,169890,147200,103040
"69 ARCH ST",6424.2563,5177.291,196900,137830,133000,93100
"75 ARCH ST",11363.984099999998,8124.0649,348300,243809.99999999997,208700,146090
"76 ARCH ST",14212.321199999998,10339.011199999999,435600,304920,265600,185920
"78 ARCH ST",9044.2044,6652.624299999999,277200,194040,170900,119629.99999999999
"85 ARCH ST",9801.150800000001,6944.576799999999,300400,210280,178400,124879.99999999999
"86 ARCH ST",12130.718599999998,8571.725400000001,371800,260259.99999999997,220200,154140
"88 ARCH ST",10548.3091,8155.2065,323300,226310,209500,146650
"89 ARCH ST",1954.3573000000001,1487.0113999999999,59900,41930,38200,26740
"92 ARCH ST",7272.5583,5181.1837000000005,222900,156030,133100,93170
"98 ARCH ST",7898.996700000001,6103.7536,242100,169470,156800,109760
"101 ARCH ST",189.23659999999998,144.0299,5800,4059.9999999999995,3700,2590
"102 ARCH ST",11944.7447,11168.1563,366100,256269.99999999997,286900,200830
"108 ARCH ST",9938.1842,7843.7905,304600,213220,201500,141050
"115 ARCH ST",9445.5165,7563.5161,289500,202650,194300,136010
"116 ARCH ST",9761.9984,7294.9198,299200,209440,187400,131180
"121 ARCH ST",6642.8572,4897.0166,203600,142520,125800,88060
"122 ARCH ST",8421.028699999999,5979.1872,258100,180670,153600,107520
"138 ARCH ST",8150.2246,6080.397400000001,249800,174860,156200,109340
"141 ARCH ST",17259.683,18587.6425,529000,370300,477500,334250
"144 ARCH ST",NA,25368.725899999998,NA,NA,651700,456190
"151 ARCH ST",4169.7306,3024.6279,127800,89460,77700,54390
"173 ARCH ST",15174.8177,8427.6955,465100,325570,216500,151550
"175 ARCH ST",9908.8199,6134.8952,303700,212590,157600,110320
"195 ARCH ST #U1",4509.0514,4788.021,138200,96740,123000,86100
"195 ARCH ST #U10",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"195 ARCH ST #U11",4225.1965,4550.5662999999995,129500,90650,116900,81830
"195 ARCH ST #U12",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"195 ARCH ST #U13",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"195 ARCH ST #U14",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"195 ARCH ST #U15",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"195 ARCH ST #U16",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U17",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U18",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U19",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U2",4456.8482,4729.6305,136600,95620,121500,85050
"195 ARCH ST #U20",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U21",4411.1704,4752.9867,135200,94640,122100,85470
"195 ARCH ST #U3",4509.0514,4807.4845,138200,96740,123500,86450
"195 ARCH ST #U4",4509.0514,4788.021,138200,96740,123000,86100
"195 ARCH ST #U5",4509.0514,4788.021,138200,96740,123000,86100
"195 ARCH ST #U6",4509.0514,4788.021,138200,96740,123000,86100
"195 ARCH ST #U7",4509.0514,4788.021,138200,96740,123000,86100
"195 ARCH ST #U8",4763.542,4788.021,146000,102200,123000,86100
"195 ARCH ST #U9",4394.856900000001,4733.5232000000005,134700,94290,121600,85120
"88 ARCH ST REAR",182.7112,155.708,5600,3919.9999999999995,4000,2800
"88 ARCH ST REAR",182.7112,155.708,5600,3919.9999999999995,4000,2800
"18 ARDMORE ST",16293.923799999999,12028.443,499400,349580,309000,216300
"27 ARDMORE ST",13837.1107,10576.465900000001,424100,296870,271700,190190
"30 ARDMORE ST",13540.205,8859.785199999998,415000,290500,227600,159320
"33 ARDMORE ST",14904.0136,11265.473800000002,456800,319760,289400,202580
"36 ARDMORE ST",13625.035199999998,10409.079800000001,417600,292320,267400,187180
"37 ARDMORE ST",15119.3518,10813.9206,463400,324380,277800,194460
"43 ARDMORE ST",14597.319800000001,10564.7878,447400,313180,271400,189980
"44 ARDMORE ST",13484.739099999999,10066.5222,413300,289310,258600,181020
"49 ARDMORE ST",13540.205,9961.419300000001,415000,290500,255900,179130
"53 ARDMORE ST",14238.4228,10868.4184,436400,305480,279200,195440
"54 ARDMORE ST",16111.212599999999,12479.9962,493800,345660,320600,224420
"57 ARDMORE ST",14528.8031,10930.7016,445300,311710,280800,196560
"60 ARDMORE ST",14554.9047,10989.0921,446100,312270,282300,197610
"64 ARDMORE ST",14460.2864,10638.749099999999,443200,310240,273300,191310
"69 ARDMORE ST",15781.679900000001,11884.4131,483700,338590,305300,213710
"70 ARDMORE ST",15001.8946,11483.465,459800,321860,295000,206500
"74 ARDMORE ST",16098.161799999998,14640.4447,493400,345380,376100,263270
"80 ARDMORE ST",14127.491,10720.4958,433000,303100,275400,192780
"85 ARDMORE ST",13298.7652,9980.882800000001,407600,285320,256400,179480
"86 ARDMORE ST",14923.589800000002,10159.947,457400,320180,261000,182700
"90 ARDMORE ST",15174.8177,11880.520400000001,465100,325570,305200,213640
"93 ARDMORE ST",14613.633300000001,10942.3797,447900,313530,281100,196770
"94 ARDMORE ST",15217.232800000002,13161.218699999998,466400,326480,338100,236669.99999999997
"100 ARDMORE ST",13618.509800000002,10296.1915,417400,292180,264500,185150
"101 ARDMORE ST",13719.6535,9646.1106,420500,294350,247800,173460
"104 ARDMORE ST",13083.427,9969.204699999998,401000,280700,256100,179270
"105 ARDMORE ST",14532.0658,11031.9118,445400,311780,283400,198380
"109 ARDMORE ST",15041.047,11639.173,461000,322700,299000,209300
"110 ARDMORE ST",13465.162900000001,10339.011199999999,412700,288890,265600,185920
"113 ARDMORE ST",12841.9872,8848.1071,393600,275520,227300,159110
"114 ARDMORE ST",13563.0439,10202.7667,415700,290990,262100,183470
"119 ARDMORE ST",14623.421400000001,10342.903900000001,448200,313740,265700,185990
"120 ARDMORE ST",13419.4851,9319.123800000001,411300,287910,239400,167580
"123 ARDMORE ST",14248.2109,11039.697199999999,436700,305690,283600,198520
"124 ARDMORE ST",14013.2965,10124.912699999999,429500,300650,260100,182070
"127 ARDMORE ST",13559.7812,10194.981300000001,415600,290920,261900,183330
"130 ARDMORE ST",12721.267300000001,9805.7113,389900,272930,251900,176330
"134 ARDMORE ST",12969.2325,9906.9215,397500,278250,254500,178150
"135 ARDMORE ST",13373.8073,9883.5653,409900,286930,253900,177730
"139 ARDMORE ST",12995.3341,9556.5785,398300,278810,245500,171850
"140 ARDMORE ST",13135.6302,10132.6981,402600,281820,260300,182210
"143 ARDMORE ST",13027.9611,9214.0209,399300,279510,236700,165690
"144 ARDMORE ST",12890.927699999998,9875.7799,395100,276570,253700,177590
"147 ARDMORE ST",13501.052599999999,10097.6638,413800,289660,259400,181580
"148 ARDMORE ST",12822.411,9568.256599999999,393000,275100,245800,172060
"154 ARDMORE ST",15406.4694,11047.4826,472200,330540,283800,198660
"160 ARDMORE ST",14600.5825,11277.1519,447500,313250,289700,202790
"11 ARENTS RD",10620.0885,8240.8459,325500,227850,211700,148190
"25 ARENTS RD",9230.178300000001,6633.160799999999,282900,198030,170400,119279.99999999999
"1 ARMORY ST",10757.121899999998,10576.465900000001,329700,230789.99999999997,271700,190190
"19 ARMORY ST",10636.402,10323.4404,326000,228200,265200,185640
"31 ARMORY ST",10613.5631,9700.608400000001,325300,227710,249200,174440
"65 ARMORY ST",25716.6014,28081.937799999996,788200,551740,721400,504979.99999999994
"99 ARMORY ST",19540.3103,18669.389199999998,598900,419230,479600,335720
"103 ARMORY ST",18998.702100000002,15010.251199999999,582300,407610,385600,269920
"119 ARMORY ST",22062.377399999998,16516.7261,676200,473339.99999999994,424300,297010
"123 ARMORY ST",21863.352699999996,20140.8298,670100,469069.99999999994,517400,362180
"125 ARMORY ST",21331.532600000002,16851.4983,653800,457660,432900,303030
"133 ARMORY ST",20587.637,13215.716499999999,631000,441700,339500,237649.99999999997
"139 ARMORY ST",18809.4655,13982.578399999999,576500,403550,359200,251439.99999999997
"140 ARMORY ST",6916.924,4795.8064,212000,148400,123200,86240
"146 ARMORY ST",24969.4431,18902.9512,765300,535710,485600,339920
"147 ARMORY ST",16339.6016,12845.909999999998,500800,350560,330000,230999.99999999997
"153 ARMORY ST",22891.103199999994,15430.6628,701600,491119.99999999994,396400,277480
"154 ARMORY ST",28356.1257,24010.173600000002,869100,608370,616800,431760
"157 ARMORY ST",18238.493,19237.7234,559000,391300,494200,345940
"162 ARMORY ST",6655.908,4544.72725,204000,142800,116750,81725
"167 ARMORY ST",18421.2042,14048.754299999999,564600,395220,360900,252629.99999999997
