PER,JNL,SRC,EFF_DATE,REFERENCE,BEG_BALANCE,DEBITS,CREDITS,NET_CHANGE,END_BALANCE
5,28,PRJ,11/16/23, RUN: 0 WARRANT: 111623,,1278.96,0,62781.69,
5,92,PRJ,11/22/23, RUN: 0 WARRANT: 112223,,1278.96,0,64060.65,
5,143,PRJ,11/30/23, RUN: 0 WARRANT: 113023,,1278.96,0,65339.61,
6,24,PRJ,12/07/23, RUN: 0 WARRANT: 120723,,1278.96,0,66618.57,
6,105,PRJ,12/14/23, RUN: 0 WARRANT: 121423,,1278.96,0,67897.53,
6,163,PRJ,12/21/23, RUN: 0 WARRANT: 122123,,2103.96,0,70001.49,
6,194,PRJ,12/28/23, RUN: 0 WARRANT: 122823,,1278.96,0,71280.45,
7,2,PRJ,01/04/24, RUN: 0 WARRANT: 010424,,1278.96,0,72559.41,
7,45,PRJ,01/11/24, RUN: 0 WARRANT: 011124,,1278.96,0,73838.37,
7,96,PRJ,01/18/24, RUN: 0 WARRANT: 011824,,1278.96,0,75117.33,
7,166,PRJ,01/25/24, RUN: 0 WARRANT: 012524,,1278.96,0,76396.29,
8,2,PRJ,02/01/24, RUN: 0 WARRANT: 020124,,1278.96,0,77675.25,
8,17,PRJ,02/08/24, RUN: 0 WARRANT: 020824,,1278.96,0,78954.21,
8,47,PRJ,02/15/24, RUN: 0 WARRANT: 021524,,1278.96,0,80233.17,
8,100,PRJ,02/22/24, RUN: 0 WARRANT: 022224,,1278.96,0,81512.13,
8,154,PRJ,02/29/24, RUN: 0 WARRANT: 022924,,1278.96,0,82791.09,
9,16,PRJ,03/07/24, RUN: 0 WARRANT: 030724,,1278.96,0,84070.05,
9,87,PRJ,03/14/24, RUN: 0 WARRANT: 031424,,1278.96,0,85349.01,
9,166,PRJ,03/21/24, RUN: 0 WARRANT: 032124,,1278.96,0,86627.97,
9,248,PRJ,03/28/24, RUN: 0 WARRANT: 032824,,1278.96,0,87906.93,
10,5,PRJ,04/04/24, RUN: 0 WARRANT: 040424,,1278.96,0,89185.89,
10,39,PRJ,04/11/24, RUN: 0 WARRANT: 041124,,1278.96,0,90464.85,
10,78,PRJ,04/18/24, RUN: 0 WARRANT: 041824,,1278.96,0,91743.81,
10,116,PRJ,04/25/24, RUN: 0 WARRANT: 042524,,1278.96,0,93022.77,
11,2,PRJ,05/02/24, RUN: 0 WARRANT: 050224,,1278.96,0,94301.73,
11,29,PRJ,05/09/24, RUN: 0 WARRANT: 050924,,1278.96,0,95580.69,
11,82,PRJ,05/16/24, RUN: 0 WARRANT: 051624,,1278.96,0,96859.65,
11,110,PRJ,05/23/24, RUN: 0 WARRANT: 052324,,1278.96,0,98138.61,
11,217,PRJ,05/30/24, RUN: 0 WARRANT: 053024,,1278.96,0,99417.57,
12,6,PRJ,06/06/24, RUN: 0 WARRANT: 060624,,1278.96,0,100696.53,
12,44,PRJ,06/13/24, RUN: 0 WARRANT: 061324,,1278.96,0,101975.49,
12,112,PRJ,06/20/24, RUN: 0 WARRANT: 062024,,1278.96,0,103254.45,
12,180,PRJ,06/27/24, RUN: 0 WARRANT: 062724,,1278.96,0,104533.41,
,10101-0110,,,,0,104533.41,0,104533.41,104533.41
001 -51-01-001-0120 -,,,,,,,,,
TEMPORARY WAGES,,,10101,.00,,,,,
5,28,PRJ,11/16/23, RUN: 0 WARRANT: 111623,,1400.00,0,1400.00,
5,92,PRJ,11/22/23, RUN: 0 WARRANT: 112223,,937.50,0,2337.50,
5,143,PRJ,11/30/23, RUN: 0 WARRANT: 113023,,875.00,0,3212.50,
6,24,PRJ,12/07/23, RUN: 0 WARRANT: 120723,,1300.00,0,4512.50,
6,105,PRJ,12/14/23, RUN: 0 WARRANT: 121423,,1400.00,0,5912.50,
6,194,PRJ,12/28/23, RUN: 0 WARRANT: 122823,,1400.00,0,7312.50,
7,2,PRJ,01/04/24, RUN: 0 WARRANT: 010424,,975.00,0,8287.50,
7,166,PRJ,01/25/24, RUN: 0 WARRANT: 012524,,510.00,0,8797.50,
8,2,PRJ,02/01/24, RUN: 0 WARRANT: 020124,,570.00,0,9367.50,
8,17,PRJ,02/08/24, RUN: 0 WARRANT: 020824,,570.00,0,9937.50,
8,47,PRJ,02/15/24, RUN: 0 WARRANT: 021524,,570.00,0,10507.50,
8,100,PRJ,02/22/24, RUN: 0 WARRANT: 022224,,570.00,0,11077.50,
8,154,PRJ,02/29/24, RUN: 0 WARRANT: 022924,,570.00,0,11647.50,
9,16,PRJ,03/07/24, RUN: 0 WARRANT: 030724,,570.00,0,12217.50,
9,87,PRJ,03/14/24, RUN: 0 WARRANT: 031424,,570.00,0,12787.50,
9,166,PRJ,03/21/24, RUN: 0 WARRANT: 032124,,570.00,0,13357.50,
9,248,PRJ,03/28/24, RUN: 0 WARRANT: 032824,,570.00,0,13927.50,
10,5,PRJ,04/04/24, RUN: 0 WARRANT: 040424,,570.00,0,14497.50,
10,39,PRJ,04/11/24, RUN: 0 WARRANT: 041124,,570.00,0,15067.50,
10,78,PRJ,04/18/24, RUN: 0 WARRANT: 041824,,1020.00,0,16087.50,
10,116,PRJ,04/25/24, RUN: 0 WARRANT: 042524,,870.00,0,16957.50,
11,2,PRJ,05/02/24, RUN: 0 WARRANT: 050224,,720.00,0,17677.50,
11,29,PRJ,05/09/24, RUN: 0 WARRANT: 050924,,1020.00,0,18697.50,
11,82,PRJ,05/16/24, RUN: 0 WARRANT: 051624,,1170.00,0,19867.50,
11,110,PRJ,05/23/24, RUN: 0 WARRANT: 052324,,1020.00,0,20887.50,
11,217,PRJ,05/30/24, RUN: 0 WARRANT: 053024,,720.00,0,21607.50,
12,6,PRJ,06/06/24, RUN: 0 WARRANT: 060624,,720.00,0,22327.50,
12,44,PRJ,06/13/24, RUN: 0 WARRANT: 061324,,720.00,0,23047.50,
12,112,PRJ,06/20/24, RUN: 0 WARRANT: 062024,,570.00,0,23617.50,
12,180,PRJ,06/27/24, RUN: 0 WARRANT: 062724,,720.00,0,24337.50,
,10101-0120,,,,0,24337.50,0,24337.50,24337.5
001 -51-01-001-0140 -,,,,,,,,,
LONGEVITY,,,10101,.00,,,,,
2,3,PRJ,08/03/23, RUN: 0 WARRANT: 080323,,970.00,0,970.00,
5,92,PRJ,11/22/23, RUN: 0 WARRANT: 112223,,920.00,0,1890.00,
,10101-0140,,,,0,1890.00,0,1890.00,1890
001 -51-01-001-0510 -,,,,,,,,,
ADVERTISING,,,10101,.00,,,,,
2,118,API,08/11/23, 035285 112866 HEARST MEDIA,,341.59,0,341.59,
2,118,API,08/11/23, 001950 113015 AMERICAN LEGAL,,6645.57,0,6987.16,
3,190,API,09/14/23, 001950 113681 AMERICAN LEGAL,,702.00,0,7689.16,
3,190,API,09/14/23, 016347 113699 QUINNIPIAC,,1668.00,0,9357.16,
3,219,API,09/26/23, 035285 114000 HEARST MEDIA,,2370.09,0,11727.25,
8,26,API,02/02/24, 017863 117236 BAEZ,,242.99,0,11970.24,
10,150,API,04/26/24, 016347 119425 QUINNIPIAC,,4259.55,0,16229.79,
12,205,API,06/24/24, 035285 120745 HEARST MEDIA,,1264.26,0,17494.05,
12,205,API,06/24/24, 035285 120746 HEARST MEDIA,,2623.21,0,20117.26,
12,205,API,06/24/24, 035285 120747 HEARST MEDIA,,411.88,0,20529.14,
12,278,API,06/30/24, 016347 120987 QUINNIPIAC,,2260.09,0,22789.23,
12,361,API,06/30/24, 035285 121123 HEARST MEDIA,,3234.60,0,26023.83,
,10101-0510,,,,0,26023.83,0,26023.83,26023.83
001 -51-01-001-0576 -,,,,,,,,,
SPECIAL PROJECTS,,,10101,.00,,,,,
5,80,API,11/15/23, 016718 115216 JAMES R ANDERSO,,1810.00,0,1810.00,
,10101-0576,,,,0,1810.00,0,1810.00,1810
001 -51-01-001-0592 -,,,,,,,,,
LEGAL LAWYER,,,10101,.00,,,,,
2,262,API,08/30/23, 012001 113357 MEDNICK,,1423.50,0,1423.50,
3,278,API,09/27/23, 012001 114044 MEDNICK,,838.50,0,2262.00,
4,213,API,10/20/23, 012001 114623 MEDNICK,,2301.00,0,4563.00,
6,38,API,12/04/23, 012001 115874 MEDNICK,,8938.74,0,13501.74,
6,202,API,12/21/23, 012001 116420 MEDNICK,,6513.00,0,20014.74,
8,57,API,02/14/24, 012001 117587 MEDNICK,,24879.08,0,44893.82,
12,278,API,06/30/24, 012001 120986 MEDNICK,,994.50,0,45888.32,
,10101-0592,,,,0,45888.32,0,45888.32,45888.32
001 -51-01-001-0595 -,,,,,,,,,
ANNUAL AUDIT,,,10101,.00,,,,,
2,226,API,08/24/23, 016203 113242 CLERMONT,,6860.00,0,6860.00,
8,208,API,02/22/24, 016203 117849 CLERMONT,,42640.00,0,49500.00,
,10101-0595,,,,0,49500.00,0,49500.00,49500
001 -51-01-001-0965 -,,,,,,,,,
EMERG AND CONTINGENCY FUND,,,10101,.00,,,,,
10,259,API,04/19/24, 000610 119460 ACES,,259397.20,0,259397.20,
,10101-0965,,,,0,259397.20,0,259397.20,259397.2
001 -40-01-008-0801 -,,,,,,,,,
CURRENT TAXES,,,10108,.00,,,,,
1,184,API,07/17/23, 020194 112406 BIDEN,,120.35,0,120.35,
1,184,API,07/17/23, 012392 112407 CORELOGIC,,4485.56,0,4605.91,
1,184,API,07/17/23, 020195 112408 CPM,,59.08,0,4664.99,
1,184,API,07/17/23, 020190 112409 JOHN HALL,,4835.08,0,9500.07,
1,184,API,07/17/23, 020191 112410 LANDIS,,3459.46,0,12959.53,
1,184,API,07/17/23, 020196 112411 LEWIS,,93.91,0,13053.44,
1,184,API,07/17/23, 032164 112412 MCKIERNAN,,135.92,0,13189.36,
1,184,API,07/17/23, 020197 112413 NEWTOWN,,2790.37,0,15979.73,
1,184,API,07/17/23, 020039 112414 REIZFELD,,4431.20,0,20410.93,
1,352,GNI,07/03/23, Tax rg 07032023-07032023,,.00,13601.86,6809.07,
1,354,GNI,07/05/23, Tax rg 07052023-07052023,,.00,4331.47,2477.60,
1,355,GNI,07/06/23, Tax rg 07062023-07062023,,.00,14630.17,-12152.57,
1,356,GNI,07/07/23, Tax rg 07072023-07072023,,.00,2962.65,-15115.22,
1,357,GNI,07/10/23, Tax rg 07102023-07102023,,.00,8057.45,-23172.67,
1,357,GNI,07/10/23, Tax rg 07102023-07102023,,200.00,0,-22972.67,
1,358,GNI,07/11/23, Tax rg 07112023-07112023,,.00,2724.35,-25697.02,
1,359,GNI,07/12/23, Tax rg 07122023-07122023,,.00,2694.02,-28391.04,
1,360,GNI,07/13/23, Tax rg 07132023-07132023,,.00,385,-28776.04,
1,361,GNI,07/14/23, Tax rg 07142023-07142023,,.00,28.79,-28804.83,
1,363,GNI,07/17/23, Tax rg 07172023-07172023,,.00,2087.46,-30892.29,
1,364,GNI,07/18/23, Tax rg 07182023-07182023,,.00,37.13,-30929.42,
1,364,GNI,07/18/23, Tax rg 07182023-07182023,,2053.05,0,-28876.37,
1,365,GNI,07/19/23, Tax rg 07192023-07192023,,.00,2315,-31191.37,
1,366,GNI,07/20/23, Tax rg 07202023-07202023,,.00,62.84,-31254.21,
1,367,GNI,07/21/23, Tax rg 07212023-07212023,,.00,5556.43,-36810.64,
1,368,GNI,07/24/23, Tax rg 07242023-07242023,,.00,2487.61,-39298.25,
1,370,GNI,07/26/23, Tax rg 07262023-07262023,,.00,5265.12,-44563.37,
1,371,GNI,07/27/23, Tax rg 07272023-07272023,,.00,1754.72,-46318.09,
1,371,GNI,07/27/23, Tax rg 07272023-07272023,,159.00,0,-46159.09,
1,372,GNI,07/31/23, Tax rg 07312023-07312023,,.00,918.18,-47077.27,
1,434,GEN,07/31/23,,,.00,61468012.91,-61515090.18,
1,436,GRV,07/31/23,,,61468012.91,0,-47077.27,
1,456,GNI,07/28/23, chris 07282023-07282023,,.00,424.97,-47502.24,
1,495,GEN,07/31/23,,,26023.35,0,-21478.89,
1,497,GEN,07/31/23,,,.00,2468968.59,-2490447.48,
1,498,GEN,07/31/23,,,.00,20100.27,-2510547.75,
1,605,GEN,07/31/23,,,208401.51,0,-2302146.24,
1,645,GEN,07/24/23, ADJ,,300000.00,0,-2002146.24,
2,282,GNI,08/01/23, Tax rg 08012023-08012023,,.00,5020.36,-2007166.60,
2,283,GNI,08/02/23, Tax rg 08022023-08022023,,136817.60,0,-1870349.00,
2,284,GNI,08/03/23, Tax rg 08032023-08032023,,.00,10280.63,-1880629.63,
2,285,GNI,08/04/23, Tax rg 08042023-08042023,,.00,4726.78,-1885356.41,
2,286,GNI,08/07/23, Tax rg 08072023-08072023,,.00,13059.49,-1898415.90,
2,287,GNI,08/08/23, Tax rg 08082023-08082023,,.00,8611.9,-1907027.80,
2,288,GNI,08/09/23, Tax rg 08092023-08092023,,.00,7369.32,-1914397.12,
2,289,GNI,08/10/23, Tax rg 08102023-08102023,,.00,8150.82,-1922547.94,
2,290,GNI,08/11/23, Tax rg 08112023-08112023,,.00,7879.05,-1930426.99,
2,291,GNI,08/14/23, Tax rg 08142023-08142023,,.00,3446.45,-1933873.44,
2,292,GNI,08/15/23, Tax rg 08152023-08152023,,.00,12367.07,-1946240.51,
2,293,GNI,08/16/23, Tax rg 08162023-08162023,,.00,2363.72,-1948604.23,
2,295,GNI,08/18/23, Tax rg 08182023-08182023,,.00,4255.56,-1952859.79,
2,296,GNI,08/21/23, Tax rg 08212023-08212023,,.00,1550.48,-1954410.27,
2,298,GNI,08/23/23, Tax rg 08232023-08232023,,.00,5530.81,-1959941.08,
2,299,GNI,08/24/23, Tax rg 08242023-08242023,,.00,196.7,-1960137.78,
2,300,GNI,08/25/23, Tax rg 08252023-08252023,,.00,225.44,-1960363.22,
2,300,GNI,08/25/23, Tax rg 08252023-08252023,,8718.68,0,-1951644.54,
2,301,GNI,08/28/23, Tax rg 08282023-08282023,,.00,2527.16,-1954171.70,
2,302,GNI,08/29/23, Tax rg 08292023-08292023,,.00,4287.27,-1958458.97,
2,303,GNI,08/30/23, Tax rg 08302023-08302023,,.00,1869.33,-1960328.30,
2,320,GEN,08/31/23,,,.00,52711875.53,-54672203.83,
2,321,GEN,08/31/23,,,.00,61468012.91,-116140216.74,
2,358,GEN,08/31/23,,,10424.23,0,-116129792.51,
2,388,GEN,08/30/23, Tax adjst,,30642.42,0,-116099150.09,
3,66,API,09/12/23, 020265 113665 COOPER,,309.74,0,-116098840.35,
3,66,API,09/12/23, 020266 113666 GOLDBERG,,5057.00,0,-116093783.35,
3,66,API,09/12/23, 018551 113667 VISCUSO,,16.66,0,-116093766.69,
3,295,GNI,09/01/23, 09012023-09012023,,.00,10537.47,-116104304.16,
3,296,GNI,09/05/23, 09052023-09052023,,.00,2777.86,-116107082.02,
3,298,GNI,09/07/23, 09072023-09072023,,.00,14782.79,-116121864.81,
3,300,GNI,09/11/23, 09112023-09112023,,.00,7971.24,-116129836.05,
3,302,GNI,09/13/23, 09132023-09132023,,.00,1236.55,-116131072.60,
3,303,GNI,09/14/23, 09132023-09132023,,.00,1236.55,-116132309.15,
3,306,GNI,09/18/23, 09182023-09182023,,.00,3253,-116135562.15,
3,307,GNI,09/19/23, 09192023-09192023,,.00,7887.81,-116143449.96,
3,309,GNI,09/21/23, 09212023-09212023,,.00,664.08,-116144114.04,
3,311,GNI,09/25/23, 09252023-09252023,,.00,8087.69,-116152201.73,
3,312,GNI,09/26/23, 09262023-09262023,,.00,4954.02,-116157155.75,
3,314,GNI,09/28/23, 09282023-09282023,,.00,2055.5,-116159211.25,
3,315,GNI,09/29/23, 09292023-09292023,,.00,10597.06,-116169808.31,
3,316,GEN,09/30/23,,,.00,1156729.34,-117326537.65,
3,353,GRV,09/14/23,,,1236.55,0,-117325301.10,
3,354,GEN,09/30/23,,,.00,4517.8,-117329818.90,
3,383,GEN,09/30/23,,,9277.46,0,-117320541.44,
4,144,API,10/13/23, 020352 114444 BARRETT,,5809.40,0,-117314732.04,
4,144,API,10/13/23, 020353 114445 BROWN,,5449.03,0,-117309283.01,
4,144,API,10/13/23, 020354 114446 CAPPELLA,,620.56,0,-117308662.45,
4,144,API,10/13/23, 020355 114447 CARDONA,,3000.00,0,-117305662.45,
4,144,API,10/13/23, 020356 114448 CLARKE,,3577.60,0,-117302084.85,
4,144,API,10/13/23, 020357 114449 STAGGERS,,1444.46,0,-117300640.39,
4,144,API,10/13/23, 020358 114450 WILLIAM WALLIS,,135.03,0,-117300505.36,
4,144,API,10/13/23, 020359 114451 WHITE,,418.99,0,-117300086.37,
4,382,GNI,10/02/23, 10022023-10022023,,.00,1444.78,-117301531.15,
4,386,GNI,10/06/23, 10062023-10062023,,.00,18090.37,-117319621.52,
4,387,GNI,10/10/23, 10102023-10102023,,.00,6922.17,-117326543.69,
4,388,GNI,10/11/23, 10112023-10112023,,.00,14046.57,-117340590.26,
4,389,GNI,10/12/23, 10122023-10122023,,.00,21168.36,-117361758.62,
4,391,GNI,10/16/23, 10162023-10162023,,.00,38556.38,-117400315.00,
4,393,GNI,10/18/23, 10182023-10182023,,18090.37,0,-117382224.63,
4,394,GNI,10/19/23, 10192023-10192023,,.00,7729.41,-117389954.04,
4,395,GNI,10/20/23, 10202023-10202023,,.00,7419.11,-117397373.15,
4,396,GNI,10/23/23, 10232023-10232023,,.00,11797.77,-117409170.92,
4,398,GNI,10/25/23, 10252023-10252023,,.00,4956.49,-117414127.41,
4,399,GNI,10/26/23, 10262023-10262023,,.00,2127.95,-117416255.36,
4,401,GNI,10/30/23, 10302023-10302023,,.00,12649.1,-117428904.46,
4,402,GNI,10/31/23, 10312023-10312023,,.00,20187.39,-117449091.85,
4,458,GEN,10/31/23,,,.00,461.19,-117449553.04,
4,499,GEN,10/31/23,,,.00,461.19,-117450014.23,
4,500,GEN,10/31/23,,,461.19,0,-117449553.04,
5,80,API,11/15/23, 020495 115153 WEBSTER,,5793.06,0,-117443759.98,
5,191,GNI,11/01/23, 11012023-11012023,,.00,4601.7,-117448361.68,
5,193,GNI,11/03/23, 11032023-11032023,,.00,5177.79,-117453539.47,
5,194,GNI,11/06/23, 11062023-11062023,,.00,3394.7,-117456934.17,
5,195,GNI,11/08/23, 11082023-11082023,,.00,65.77,-117456999.94,
5,197,GNI,11/13/23, 11132023-11132023,,14144.08,0,-117442855.86,
5,200,GNI,11/15/23, 11152023-11152023,,.00,4353.08,-117447208.94,
5,201,GNI,11/16/23, 11162023-11162023,,.00,830,-117448038.94,
5,202,GNI,11/17/23, 11172023-11172023,,.00,765.08,-117448804.02,
5,203,GNI,11/20/23, 11202023-11202023,,.00,9340.78,-117458144.80,
5,205,GNI,11/22/23, 11222023-11222023,,.00,1933.7,-117460078.50,
5,207,GNI,11/27/23, 11272023-11272023,,.00,17057.5,-117477136.00,
5,208,GNI,11/28/23, 11282023-11282023,,.00,9179.39,-117486315.39,
5,209,GNI,11/29/23, 11292023-11292023,,.00,9659.53,-117495974.92,
5,210,GNI,11/30/23, 11302023-11302023,,.00,2223.98,-117498198.90,
5,330,GNI,11/07/23, chris 11072023-11072023,,.00,5537.51,-117503736.41,
5,341,GEN,11/23/23,,,1775631.27,0,-115728105.14,
5,372,GEN,11/30/23,,,.00,4226.12,-115732331.26,
5,373,GRV,11/30/23,,,4226.12,0,-115728105.14,
5,375,GEN,11/30/23,,,3617.19,0,-115724487.95,
6,309,GNI,12/05/23, 12052023-12052023,,.00,19713.97,-115744201.92,
6,310,GNI,12/01/23, 12012023-12012023,,.00,6876.03,-115751077.95,
6,311,GNI,12/04/23, 12042023-12042023,,.00,17068.02,-115768145.97,
6,312,GNI,12/06/23, 12062023-12062023,,.00,10412.82,-115778558.79,
6,313,GNI,12/07/23, 12072023-12072023,,.00,148.73,-115778707.52,
6,314,GNI,12/08/23, 12082023-12082023,,.00,11452.18,-115790159.70,
6,315,GNI,12/11/23, 12112023-12112023,,.00,5726.32,-115795886.02,
6,316,GNI,12/12/23, 12122023-12122023,,.00,7720.04,-115803606.06,
6,317,GNI,12/13/23, 12132023-12132023,,.00,9380.03,-115812986.09,
6,319,GNI,12/18/23, 12182023-12182023,,.00,1818.42,-115814804.51,
6,320,GNI,12/19/23, 12192023-12192023,,.00,6414.34,-115821218.85,
6,322,GNI,12/21/23, 12212023-12212023,,.00,1000,-115822218.85,
6,323,GNI,12/22/23, 12222023-12222023,,.00,74520.19,-115896739.04,
6,325,GNI,12/27/23, 12272023-12272023,,.00,3926.82,-115900665.86,
6,326,GNI,12/28/23, 12282023-12282023,,.00,747.9,-115901413.76,
6,327,GNI,12/29/23, 12292023-12292023,,.00,954.82,-115902368.58,
6,342,GNI,12/15/23, chris 12152023-12152023,,.00,4005.92,-115906374.50,
6,378,GEN,12/31/23,,,450.91,0,-115905923.59,
6,380,GEN,12/31/23,,,331747.54,0,-115574176.05,
6,415,GEN,12/31/23,,,28905.38,0,-115545270.67,
6,416,GRV,12/31/23,,,.00,28905.38,-115574176.05,
6,417,GEN,12/31/23,,,.00,4226.12,-115578402.17,
6,418,GEN,12/31/23,,,.00,28905.38,-115607307.55,
6,419,GRV,12/31/23,,,28905.38,0,-115578402.17,
7,398,GNI,01/03/24, 01032024-01032024,,.00,29382.18,-115607784.35,
7,399,GNI,01/08/24, 01082024-01082024,,.00,3837,-115611621.35,
7,400,GNI,01/09/24, 01092024-01092024,,.00,94,-115611715.35,
7,401,GNI,01/10/24, 01102024-01102024,,.00,912.98,-115612628.33,
7,404,GNI,01/16/24, 01162024-01162024,,.00,7400.33,-115620028.66,
7,405,GNI,01/17/24, 01172024-01172024,,.00,3380.68,-115623409.34,
7,406,GNI,01/18/24, 01182024-01182024,,.00,52230.96,-115675640.30,
7,406,GNI,01/18/24, 01182024-01182024,,3837.00,0,-115671803.30,
7,407,GNI,01/19/24, 01192024-01192024,,.00,200,-115672003.30,
7,408,GNI,01/22/24, 01222024-01222024,,.00,6598.79,-115678602.09,
7,409,GNI,01/24/24, 01242024-01242024,,.00,44.63,-115678646.72,
7,410,GNI,01/25/24, 01252024-01252024,,.00,10085.84,-115688732.56,
7,411,GNI,01/26/24, 01262024-01262024,,.00,1033.47,-115689766.03,
7,412,GNI,01/29/24, 01292024-01292024,,.00,7374.01,-115697140.04,
