address,appraisal,sale_date,sale_price,use_code,use_description,zone,neighborhood,acres,land_value,style,model,grade,hist_land_value,hist_total_value,street_url,status
33 ALBERT RD ,282800,06/05/1998,96300,1010,Single Fam M01,R4,70,0.23,85600,Cape Cod,Residential,C,47400,170400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
36 ALBERT RD ,267400,03/25/2003,150000,1010,Single Fam M01,R4,70,0.15,78000,Cape Cod,Residential,C,43200,156600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
39 ALBERT RD ,293500,06/29/2001,114000,1010,Single Fam M01,R4,70,0.32,91000,Cape Cod,Residential,C,50400,169800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
45 ALBERT RD ,295200,01/22/2025,208000,1010,Single Fam M01,R4,70,0.22,84600,Cape Cod,Residential,C,46900,177500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
50 ALBERT RD ,258600,06/28/2021,0,1010,Single Fam M01,R4,70,0.21,83700,Cape Cod,Residential,C,46300,154000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
51 ALBERT RD ,262800,11/19/2018,195000,1010,Single Fam M01,R4,70,0.18,80800,Cape Cod,Residential,C,44800,160800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
56 ALBERT RD ,266500,05/17/2013,110000,1010,Single Fam M01,R4,70,0.21,83700,Cape Cod,Residential,C,46300,161900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
59 ALBERT RD ,265100,12/07/2012,135000,1010,Single Fam M01,R4,70,0.18,80800,Cape Cod,Residential,C,44800,161800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
65 ALBERT RD,320500,10/21/2021,265000,1010,Single Fam M01,R4,70,0.18,80800,Cape Cod,Residential,C,44800,202900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERT%20RD,success
14 ALBERTSON RD ,277600,11/15/2005,244900,1010,Single Fam M01,R4,50,0.11,56500,Colonial,Residential,C,36000,183000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
15 ALBERTSON RD ,235000,04/29/2005,179000,1010,Single Fam M01,R4,50,0.11,56500,Cape Cod,Residential,C,36000,155900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
18 ALBERTSON RD ,314600,03/26/2015,149900,1010,Single Fam M01,R4,50,0.13,58800,Cape Cod,Residential,C +,37400,207700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
19 ALBERTSON RD ,238800,06/19/2018,190670,1010,Single Fam M01,R4,50,0.12,57600,Cape Cod,Residential,C,36700,152900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
25 ALBERTSON RD ,305500,11/17/2020,242000,1010,Single Fam M01,R4,50,0.71,82700,Ranch,Residential,C,52700,201900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
26 ALBERTSON RD ,280900,04/05/2022,0,1010,Single Fam M01,R4,50,0.29,70000,Cape Cod,Residential,C,44600,185100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALBERTSON%20RD,success
5 ALENIER ST ,263400,12/09/2024,0,1010,Single Fam M01,R5,50,0.15,61000,Colonial,Residential,C,38900,174300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
9 ALENIER ST ,287900,05/30/2023,264000,1010,Single Fam M01,R5,50,0.15,61000,Colonial,Residential,C,38900,166600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
14 ALENIER ST ,278700,05/05/2020,195000,1010,Single Fam M01,R5,50,0.19,64000,Colonial,Residential,C,40800,179300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
15 ALENIER ST ,265700,04/26/1995,88900,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,173700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
18 ALENIER ST ,316600,05/16/2022,280000,1010,Single Fam M01,R5,50,0.14,59900,Bungalow,Residential,C,38200,160600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
19 ALENIER ST ,268100,09/01/1993,102500,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,171300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
23 ALENIER ST ,250800,08/19/2014,80300,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,161100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
27 ALENIER ST ,265600,07/19/2023,0,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,164400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
28 ALENIER ST ,253400,05/18/2010,0,1010,Single Fam M01,R5,50,0.15,61000,Colonial,Residential,C,38900,161200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
30 ALENIER ST ,273000,09/16/2022,256000,1010,Single Fam M01,R5,50,0.15,61000,Colonial,Residential,C,38900,178700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
31 ALENIER ST ,279700,06/20/2019,1,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,180200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
34 ALENIER ST ,328400,06/22/2021,158000,1010,Single Fam M01,R5,50,0.12,57600,Colonial,Residential,C,36700,186600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
35 ALENIER ST ,278700,10/17/1985,0,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,175400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
38 ALENIER ST ,274100,07/12/2007,249900,1010,Single Fam M01,R5,50,0.11,56500,Colonial,Residential,C,36000,174600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
39 ALENIER ST ,270400,01/13/1986,0,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,173300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
42 ALENIER ST ,242900,07/25/2016,1,1010,Single Fam M01,R5,50,0.11,56500,Colonial,Residential,C,36000,156900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
43 ALENIER ST ,273300,11/10/2005,214000,1040,Two Family M01,R5,50,0.14,59900,Multi Family,Residential,C,38200,163900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
46 ALENIER ST ,267100,12/14/2004,0,1010,Single Fam M01,R5,50,0.11,56500,Colonial,Residential,C,36000,171900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
47 ALENIER ST ,262600,09/11/2023,279000,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,173600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
50 ALENIER ST ,293700,08/14/1996,94750,1010,Single Fam M01,R5,50,0.11,56500,Colonial,Residential,C,36000,178400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
51 ALENIER ST ,267800,07/16/2007,0,1010,Single Fam M01,R5,50,0.14,59900,Colonial,Residential,C,38200,169800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
54 ALENIER ST ,298700,02/07/2022,299000,1010,Single Fam M01,R5,50,0.17,62500,Colonial,Residential,C,39800,191000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
58 ALENIER ST ,239300,12/31/2015,84000,1010,Single Fam M01,R5,50,0.07,51900,Old Style,Residential,C,33000,151100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
61 ALENIER ST ,365900,05/06/2008,250000,1010,Single Fam M01,R5,50,0.29,70000,Cape Cod,Residential,C +,44600,244600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALENIER%20ST,success
3 ALLENE DR ,359600,01/11/2022,310000,1010,Single Fam M01,R4,25,0.19,78200,Split-Level,Residential,C,58900,224000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
11 ALLENE DR ,268000,05/12/2020,0,1010,Single Fam M01,R4,25,0.19,78200,Ranch,Residential,C,58900,184500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
17 ALLENE DR ,268000,08/11/2022,265000,1010,Single Fam M01,R4,25,0.19,78200,Ranch,Residential,C,58900,189500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
18 ALLENE DR ,333800,03/04/2002,160000,1010,Single Fam M01,R4,25,0.22,80900,Split-Level,Residential,C,60900,221700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
23 ALLENE DR ,310800,07/22/2022,0,1010,Single Fam M01,R4,25,0.19,78200,Split-Level,Residential,C,58900,216700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
24 ALLENE DR ,348500,08/26/1976,0,1010,Single Fam M01,R4,25,0.22,80900,Split-Level,Residential,C,60900,235600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
29 ALLENE DR ,322500,04/21/2020,190550,1010,Single Fam M01,R4,25,0.19,78200,Split-Level,Residential,C,58900,217300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
30 ALLENE DR ,347500,04/26/2017,239000,1010,Single Fam M01,R4,25,0.22,80900,Split-Level,Residential,C,60900,219300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
35 ALLENE DR ,290400,10/05/2015,145000,1010,Single Fam M01,R4,25,0.19,78200,Split-Level,Residential,C,58900,179600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
36 ALLENE DR ,337600,07/01/2021,301000,1010,Single Fam M01,R4,25,0.22,80900,Split-Level,Residential,C,60900,224600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
43 ALLENE DR ,341800,04/14/2000,169000,1010,Single Fam M01,R4,25,0.19,78200,Split-Level,Residential,C,58900,206000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
44 ALLENE DR ,316200,05/02/2016,185000,1010,Single Fam M01,R4,25,0.22,80900,Split-Level,Residential,C,60900,211900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
49 ALLENE DR ,319300,05/11/2020,232000,1010,Single Fam M01,R4,25,0.21,80000,Split-Level,Residential,C,60200,223700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
50 ALLENE DR ,316700,08/31/2007,268000,1010,Single Fam M01,R4,25,0.24,82700,Split-Level,Residential,C,62300,213400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
55 ALLENE DR ,449500,12/19/2022,380000,1010,Single Fam M01,R4,25,0.31,86500,Split-Level,Residential,C +,65100,301300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
60 ALLENE DR ,422900,10/05/2021,315000,1010,Single Fam M01,R4,25,0.26,84100,Split-Level,Residential,C +,63300,283100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
70 ALLENE DR ,364300,07/18/2011,220000,1010,Single Fam M01,R4,25,0.23,81800,Ranch,Residential,C +,61600,243100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLENE%20DR,success
25 ALLING ST ,30600,10/28/1965,0,9061,CEMETERY M00,R5,58,0.66,29500,Outbuildings,       ,       ,8700,9600,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
32 ALLING ST ,244500,03/06/2023,145000,1010,Single Fam M01,T4,58,0.14,43300,Bungalow,Residential,C,12700,73900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
36 ALLING ST ,214500,07/27/2011,0,1010,Single Fam M01,T4,58,0.27,50000,Old Style,Residential,C -,14700,111400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
47 ALLING ST ,233100,11/23/2001,0,1040,Two Family M01,R5,58,0.24,48900,Multi Family,Residential,C -,14400,131500,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
48 ALLING ST ,249500,06/21/2022,150000,1010,Single Fam M01,T4,58,0.24,48900,Old Style,Residential,C,14400,130800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
49 ALLING ST ,224400,04/06/1989,0,303I,MIXED USE M96,T4,T,0.35,227700,Service Shop,Ind/Comm,C,85400,186000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
54 ALLING ST ,99700,09/26/2017,0,322I,STORE/SHOP M96,T4,W1,0.12,46400,Warehouse,Ind/Comm,NA,36800,92100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
61 ALLING ST ,263800,02/28/2025,129900,9030,MUNICIPAL M94,T4,T,0.24,215600,Other Municip,Comm/Ind,NA,64700,112900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALLING%20ST,success
7 ALSTRUM ST ,7500,07/08/1976,0,906V,CHURCH  M00,R5,T,0.06,7500,Vacant Land,       ,       ,3100,3100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
12 ALSTRUM ST ,211900,09/15/1998,0,3160,COMM WHSE M94,R5,T,0.21,175900,Service Shop,Ind/Comm,NA,52800,184300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
20 ALSTRUM ST ,311700,01/31/2007,225000,1010,Single Fam M01,R5,50,0.21,65500,Old Style,Residential,C,13900,184800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
21 ALSTRUM ST ,324800,04/19/2022,0,1040,Two Family M01,R5,50,0.1,55300,Multi Family,Residential,C,11700,168700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
26 ALSTRUM ST ,282900,12/07/2022,180000,1010,Single Fam M01,R5,50,0.3,70400,Old Style,Residential,C,14900,136000,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
31 ALSTRUM ST ,221300,12/10/2004,136000,1010,Single Fam M01,R5,50,0.15,61000,Old Style,Residential,C -,13000,126200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
32 ALSTRUM ST ,260300,03/14/2024,260000,1090,Multi Hses,R5,50,0.25,68400,Cottage,Residential,D,14500,86200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
35 ALSTRUM ST ,290500,06/12/2019,175000,1040,Two Family M01,R5,50,0.12,57600,Multi Family,Residential,C,12200,148400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
36 ALSTRUM ST,224000,06/20/2002,100000,1010,Single Fam M01,R5,50,0.06,50700,Old Style,Residential,C,10800,110300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
54 ALSTRUM ST ,335400,08/12/2024,400000,1040,Two Family M01,R5,50,0.11,56500,Multi Family,Residential,C +,12000,165800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
58 ALSTRUM ST ,241900,05/26/2021,216000,1040,Two Family M01,R5,50,0.12,57600,Multi Family,Residential,C,12200,92200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
62 ALSTRUM ST ,282100,01/24/2022,142000,1040,Two Family M01,R5,50,0.12,57600,Multi Family,Residential,C,12200,143800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
66 ALSTRUM ST ,194500,03/06/2018,1,1010,Single Fam M01,R5,50,0.12,57600,Bungalow,Residential,C,12200,92300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
67 ALSTRUM ST ,292900,07/02/2004,0,1010,Single Fam M01,R5,50,0.15,61000,Ranch,Residential,C,13000,120900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
71 ALSTRUM ST ,264800,09/25/2012,1,1010,Single Fam M01,R5,50,0.15,61000,Old Style,Residential,C,13000,128300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
72 ALSTRUM ST ,226700,06/06/2013,0,1010,Single Fam M01,R5,50,0.18,63300,Old Style,Residential,C,13400,125200,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
76 ALSTRUM ST ,233300,11/24/1998,85000,1010,Single Fam M01,R5,50,0.12,57600,Cape Cod,Residential,C,12200,116800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
78 ALSTRUM ST ,363000,09/11/2000,0,1040,Two Family M01,R5,50,0.12,57600,Multi Family,Residential,C,12200,204800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
79 ALSTRUM ST ,470100,11/26/2021,282500,1050,Three Fam M01,R5,50,0.21,65500,Multi Family,Residential,C,13900,259100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
83 ALSTRUM ST ,310100,05/05/2008,0,1012,SFR ADU-ATT,R5,50,0.17,62500,Ranch,Residential,C,13300,185700,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
84 ALSTRUM ST ,234300,05/29/2024,235000,1010,Single Fam M01,R5,50,0.07,51900,Old Style,Residential,C,11000,136900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
89 ALSTRUM ST ,210100,09/04/2018,1,1010,Single Fam M01,T4,50,0.12,57600,Bungalow,Residential,C,12200,97800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=ALSTRUM%20ST,success
5 AMHERST ST,284800,05/24/2023,0,1010,Single Fam M01,R4,110,0.25,91300,Old Style,Residential,C,63000,194400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMHERST%20ST,success
11 AMHERST ST ,363100,07/02/1998,155000,1012,SFR ADU-ATT,R4,110,0.25,91300,Raised Ranch,Residential,C +,63000,224800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMHERST%20ST,success
19 AMHERST ST ,329600,04/07/1994,147000,1010,Single Fam M01,R4,110,0.26,91800,Cape Cod,Residential,C,63300,221300,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMHERST%20ST,success
20 AMHERST ST ,292400,04/28/2023,0,1010,Single Fam M01,R4,110,0.26,91800,Cape Cod,Residential,C,63300,189800,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMHERST%20ST,success
30 AMHERST ST,296000,11/30/2021,260000,1010,Single Fam M01,R4,110,0.31,94400,Cape Cod,Residential,C,65100,191400,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMHERST%20ST,success
21 AMOS ST ,389700,07/03/2023,510000,1010,Single Fam M01,R3,100,0.96,97800,Colonial,Residential,C +,68500,276900,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMOS%20ST,success
24 AMOS ST,347700,11/03/1988,0,1010,Single Fam M01,R3,100,0.66,90700,Cape Cod,Residential,C +,63500,251100,https://gis.vgsi.com/hamdenct/Streets.aspx?Name=AMOS%20ST,success
